date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-21 16:07:10,AMD,,6,32,186,AMD collaborates with @Livermore_Lab to upgrade the @PenguinHPC-built Corona HPC Cluster with cutting-edge AMD Instinct accelerators. Learn how AMD technology will nearly double the peak performance of the Cluster to aid essential COVID-19 research.,,@Livermore_Lab @PenguinHPC,,1252629964203208709,https://twitter.com/AMD/status/1252629964203208709
2020-04-20 16:00:17,AMD,,20,89,539,"AMD is proud to pledge $15 million in high-performance systems to our COVID-19 HPC Fund, providing research institutions with computing resources to accelerate essential medical research. Read more from @statesman.",,@statesman,,1252265842416521217,https://twitter.com/AMD/status/1252265842416521217
2020-04-16 00:15:53,AMD,,8,58,358,"“AMD remains focused on providing strong and unwavering support to our employees, customers, and the communities around the world we call home.” Read President and CEO @LisaSu’s message on AMD’s response to the COVID-19 pandemic.",,@LisaSu,,1250578625881157633,https://twitter.com/AMD/status/1250578625881157633
2020-04-15 20:28:35,AMD,,38,89,532,"AMD is dedicated to protecting our workforce, serving our customers, and supporting our global community. Read on to learn how AMD is closely monitoring the impact of COVID-19 and standing with you during this difficult time.",,,,1250521422583214081,https://twitter.com/AMD/status/1250521422583214081
