date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-07 17:21:53,Bose,,2,2,14,"Want to know What We're Listening To? Between binge watching episodes of West World and Star Trek, Kurt has been tuning into The Synthesizer Show on @MakerParkRadio. Check it out today at 2 PM EST: https://bose.life/2L9J7AV #BoseHeadphones #WFH",,@MakerParkRadio,#BoseHeadphones #WFH,1258446970231967747,https://twitter.com/Bose/status/1258446970231967747
2020-05-01 13:17:37,Bose,,3,10,45,Put on your daytime sweatpants and tune out the cartoons. Let’s work from home — like a boss. Check out some of our top #WFH tips straight from the pros: https://bose.life/2VRize0,,,#WFH,1256211172682055681,https://twitter.com/Bose/status/1256211172682055681
2020-04-29 17:01:08,Bose,,3,1,18,"Curious to know What We're Listening To? Dave has the new @phish album ""Sigma Oasis"" on repeat. Click here to give it a listen: https://bose.life/2zIlJrR #BoseHeadphones #WFH",,@phish,#BoseHeadphones #WFH,1255542645646143495,https://twitter.com/Bose/status/1255542645646143495
2020-04-24 17:27:48,Bose,,2,11,47,With 22 #TeamBose 1st round #NFLDraft picks – representing 9 of the Top 10 – it's safe to say that last night was pretty exciting. Check out a few new faces to the @NFL! #BoseHeadphones http://bose.life/3avBwXx,,@NFL,#TeamBose #NFLDraft #BoseHeadphones,1253737418395705344,https://twitter.com/Bose/status/1253737418395705344
2020-03-26 13:58:43,Bose,,1,9,21,And we’re also launching a series of virtual music lessons that we're calling #MusicGivesBack. Stay tuned and stay safe.,,,#MusicGivesBack,1243175553521332226,https://twitter.com/Bose/status/1243175553521332226
2020-03-17 13:02:07,Bose,,7,7,32,"Remember, success depends on how you set it up. #WFH #WorkFromHome #BoseHeadphones https://bose.life/3d3jFtv : codergirl_ on Instagram",,,#WFH #WorkFromHome #BoseHeadphones,1239899818568237056,https://twitter.com/Bose/status/1239899818568237056
