date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-05 17:42:45,nvidia,,0,9,72,"During #GivingTuesdayNow, we’re amplifying employee donations by up to 4x to help those affected by COVID-19. See how we inspire NVIDIANs to give every day through our Inspire 365 initiative: https://nvda.ws/3c2eI3n",,,#GivingTuesdayNow,1257727448147361795,https://twitter.com/nvidia/status/1257727448147361795
2020-04-16 17:33:53,nvidia,,0,13,102,"Three new #RTXStudio laptops from @HP, a dozen GPU-enhanced updates to top creative apps, RTX-enhanced Minecraft content creation tools, and the latest NVIDIA Studio driver is here to help creators get their work done in record time. Learn more: https://nvda.ws/3bebFVh #WFH",,@HP,#RTXStudio #WFH,1250839844286279681,https://twitter.com/nvidia/status/1250839844286279681
2020-04-07 16:17:37,nvidia,,4,13,78,"Whether you’re working, creating, learning, or taking a much-needed entertainment break, we deliver the power and performance to meet every need, from at home or anywhere. https://nvda.ws/3bUUKXS #WFH",,,#WFH,1247559162650718208,https://twitter.com/nvidia/status/1247559162650718208
2020-04-06 15:12:39,nvidia,,3,105,236,"Alongside experts in industry, academia and national labs, we have joined the @WhiteHouse #HPC Consortium to help accelerate research for the detection and treatment of #COVID19. Please join the fight by submitting your proposals.",,@WhiteHouse,#HPC #COVID19,1247180424633372674,https://twitter.com/nvidia/status/1247180424633372674
2020-03-04 17:24:26,nvidia,,20,75,250,"We decided to shift #GTC20 to an online event due to growing concern over the coronavirus. Our top priorities are the health and safety of our employees, our partners and our customers. More details: https://nvda.ws/32PmsSn",,,#GTC20,1235254788746391553,https://twitter.com/nvidia/status/1235254788746391553
2020-02-04 15:30:01,nvidia,,4,18,71,Researchers and startups are using NVIDIA technologies to fight cancer by improving disease detection and radiation therapy. Here's how: https://nvda.ws/37Xuz13 #WorldCancerDay #healthcare,,,#WorldCancerDay #healthcare,1224716748290691073,https://twitter.com/nvidia/status/1224716748290691073
